,x,y,z
0,418.79944664565846,258.8878088425845,507.9124
1,450.9844160840148,239.1186852240935,508.9989
2,376.8399388870457,168.8790739616379,505.0687
3,452.42196402407717,209.22770982421935,508.0078
4,449.6457843474345,239.62161987647414,509.1483
5,482.3590956524713,-6.565504441969097,495.8879
6,552.4444227355998,225.95498502906412,508.6387
7,406.68880146637093,250.60523234121501,508.059
8,401.01255757478066,161.63172222673893,506.9197
9,51.88617913261987,-534.3408818785101,508.9525
10,256.8224768716609,-61.5803063493222,502.6245
11,213.94789329252671,-486.7331076199189,507.9211
12,546.2325383849675,203.63182513974607,509.2883
13,379.0674322954146,164.00851378403604,506.6267
14,394.3465939491289,25.15674020536244,502.3169
15,449.40669518208597,195.30643859226257,507.8069
16,437.7971994841937,265.979154093191,513.9483
17,406.65323017840274,79.48435746505857,501.2071
18,520.3967757526552,152.02014396246523,504.5681
19,480.6343477558112,160.8667011326179,505.529
20,459.0763172748266,223.7913541458547,506.7625
21,476.6875310142059,268.39408550970256,510.2037
22,452.595438130782,269.1680022003129,507.1999
23,496.3840205029119,221.37475480418652,504.9429
24,538.9734523270745,246.4963574120775,508.0277
25,437.78180146298837,265.97615183051676,514.0175
26,7.6882577032083645,-462.65695971343666,508.6302
27,540.4639118128689,242.2160199061036,509.2419
28,441.4319335625041,173.357449632138,504.4299
29,64.40857077925466,-530.4408310214058,507.8513
30,439.3720095406752,136.75864028092474,507.7795
31,423.0280775396386,154.86673408560455,506.418
32,498.98420783143956,117.59608498774469,502.477
33,469.2872068374418,98.41807359922677,507.6289
34,453.5614252079977,207.60893408115953,507.9136
35,335.33744280436076,-33.304214868694544,501.1673
36,421.96024643687997,143.80061498563737,502.0653
37,539.8026376189664,245.8264079792425,511.7981
38,437.79038036055863,265.97470629774034,514.0058
39,445.7700782190077,185.10341451317072,507.433
40,455.8782443961827,125.33691980596632,504.4745
41,482.51533407263923,108.88785430695862,508.7568
42,386.73975921364035,223.6241169758141,510.9277
43,488.9713225925807,220.2392322132364,504.9904
44,109.89137176808435,-271.12147467024624,507.9266
45,174.42997695459053,-151.66265227086842,507.1509
46,360.4666007400956,-1.8102534040808678,500.6954
47,75.30767495231703,-533.0370101686567,508.0863
48,441.2523786565289,166.18048428557813,508.3857
49,573.8501653975109,228.85895173158497,508.4654
50,419.7495182689745,149.00920774042606,502.6319
51,499.4278819815954,117.86439834535122,502.0902
52,53.8612194203306,-541.9966525770724,510.8166
53,36.9913597694831,-517.6371799968183,509.7657
54,438.0340672665043,73.47938664723188,502.2612
55,68.59841206064448,-567.862705219537,507.3266
56,83.03665635769721,-85.00796544458717,508.4582
57,512.7957858871669,152.35917729418725,507.596
58,370.14687673107255,175.82152920681983,509.8263
59,532.0710345805855,152.67419252265245,507.5625
60,370.5782340099104,185.53429485391825,507.7843
61,362.38988899753895,46.11498236935586,503.0405
62,98.1569854010595,-401.1682779826224,507.0998
63,387.2373736659065,230.97521357610822,508.2166
64,320.1662228188943,-164.46708165947348,500.5121
65,494.73609035636764,67.38879573438317,500.1009
66,311.91400428209454,-129.14100943971425,502.5125
67,351.5665309174219,107.47367722913623,507.0024
68,152.14755844685715,-498.968774959445,506.2257
69,216.1644506494049,-455.15474920812994,506.1374
70,353.37939716293477,-20.894193884916604,500.908
71,133.2931224461645,-218.53772744443268,503.9893
72,494.35997734148987,58.95443815831095,504.4042
73,378.41198737558443,21.410249542444944,501.9584
74,535.5443744057557,157.1130939926952,507.6591
75,-30.513069380889647,-174.5718094240874,509.8503
76,346.5822919195052,100.30071490257978,507.0464
77,565.1630962491035,236.38240046892315,510.3904
78,507.9357086236123,153.84140566643327,507.9956
79,114.63636089314241,-516.3683346901089,518.3085
80,487.51677204144653,80.52069418225437,500.1373
81,344.8501722769579,13.961857379414141,504.6864
82,373.9042546035489,206.919636731036,508.4308
83,546.144635124132,243.68468249682337,507.8572
84,436.969145266572,153.63936448469758,508.0316
85,546.0300152772106,202.67299128696322,509.2597
86,230.95816300343722,-459.02600057888776,503.1373
87,90.32373467308935,-85.53714210074395,508.0219
88,124.36643982864916,-227.19391889870167,509.635
89,388.38921505061444,231.21205877047032,510.5953
90,287.8547365202103,-74.62736306618899,503.6796
91,555.1687565883622,231.68697230145335,508.9009
92,471.7890099196229,-17.714686152525246,499.6711
93,17.875312156276777,-485.00313695147634,509.362
94,368.40494919288903,35.968334117904305,502.6756
95,345.0091905781301,96.33950683567673,507.3047
96,462.2426231316058,174.15582920517772,496.337
97,494.5301821657922,264.3216825174168,513.2396
98,575.3843539070804,231.6056888103485,510.1744
99,161.90396743360907,-448.4135567797348,507.6625
100,422.70695259061176,152.39320294279605,507.1857
101,155.08196141920052,-672.3253350295126,507.7983
102,36.32650484738406,-113.68958482332528,506.8512
103,186.59573834494222,-432.00074082799256,507.83
104,-12.233729192288592,-427.40883513726294,502.083
105,525.3134662624216,251.67770740855485,512.1791
106,434.5332739155274,139.40341161191463,505.6576
107,368.9354762262665,2.222119415178895,501.6587
108,364.95350549486466,2.8896225597709417,516.0343
109,478.8332462667022,107.14976640883833,507.8135
110,-35.03626062697731,-184.7904007928446,504.185
111,230.47949974564835,-237.51859022770077,500.6542
