,x,y,z,iter
0,487.9393337590154,223.8608509749174,505.3596,0.0
1,304.264107011375,0.8147252295166254,506.0433,1.0
2,403.8064970418345,-99.39847926609218,496.9674,2.0
3,300.0045918010874,-63.03028819244355,497.9171,3.0
4,130.1111494046636,-226.6141485515982,509.0324,4.0
5,458.14736219507176,93.9460360398516,504.9614,5.0
6,423.0280775396386,154.86673408560455,506.418,6.0
7,382.7627907580463,162.64659832324833,506.3204,7.0
8,71.64913691172842,-126.39949852321297,506.5042,8.0
9,101.96821747114882,-525.1452838350087,507.0833,9.0
10,216.1644506494049,-455.15474920812994,506.1374,10.0
11,452.595438130782,269.1680022003129,507.1999,11.0
12,156.07237066503149,-244.81942672189325,507.7051,12.0
13,52.990460020373575,-266.04475909937173,509.4776,13.0
14,160.76961476611905,-668.6564584253356,509.7948,14.0
15,157.75973120541312,-669.6614381726831,512.3107,15.0
16,204.60687812208198,-22.76326940767467,513.4449,16.0
17,360.7389260389609,48.23157779686153,503.1296,17.0
18,361.7137206518091,-15.350682011805475,502.7821,18.0
19,301.2635328747565,54.282583315856755,504.7351,19.0
20,72.70257979782764,-129.65851062815636,503.6747,20.0
21,382.52228075498715,154.82481359690428,508.5181,21.0
22,311.91400428209454,-129.14100943971425,502.5125,22.0
23,576.5334317135857,228.32477130461484,503.1025,23.0
24,149.56751308543608,-196.9507891656831,507.1365,24.0
25,460.28598007629625,174.63852638285607,496.5307,25.0
26,458.9124858889263,120.37929400149733,510.4477,26.0
27,287.4289656445617,-92.42277673818171,503.937,27.0
28,234.30569733399898,-376.71740317344666,501.9628,28.0
29,108.81306730222423,-119.09465901274234,506.9728,29.0
30,253.2251876287628,-17.467611025087535,511.9052,30.0
31,153.53825634985697,-666.2826691316441,509.4208,31.0
32,364.72311738855205,157.50872554257512,508.4163,32.0
33,351.5665309174219,107.47367722913623,507.0024,33.0
34,29.376505048479885,-129.3387140193954,507.9561,34.0
35,278.126662782277,-79.04280240926892,503.754,35.0
36,60.80024009186309,-532.0980802085251,509.1458,36.0
37,257.2276350695174,-51.33491700422019,506.6359,37.0
38,415.07160522183403,256.77799630444497,507.9895,38.0
39,162.36466247658245,-257.879493245855,504.0028,39.0
40,-26.656406521680765,-295.15525730885565,509.0921,40.0
41,208.30373597622383,-43.66346781887114,500.7231,41.0
42,163.5703971516341,-201.29617570340633,502.8254,42.0
43,161.57105024636257,-488.6982555594295,504.5498,43.0
44,320.5303631898714,-141.00228345952928,501.5251,44.0
45,116.2523638640996,-130.0113321300596,506.4556,45.0
46,162.8147366484627,-437.17964453529567,507.772,46.0
47,446.361496644211,172.02577919047326,505.3783,47.0
48,543.2030715697911,185.64037481416017,507.7099,48.0
49,124.23098794615362,-513.7628151690587,505.7307,49.0
50,213.94789329252671,-486.7331076199189,507.9211,50.0
51,340.93278288526926,-30.213996661826968,501.664,49.0
52,329.02915607218165,-156.75749261584133,500.264,50.0
53,491.67100078542717,114.60238397773355,501.4656,51.0
54,402.43905097967945,-93.98117363452911,500.0329,52.0
55,498.7104039991973,10.593318272382021,500.6262,53.0
56,562.186004237039,237.78212220501155,504.1866,54.0
57,457.4118428748334,236.3877378255129,508.5121,55.0
58,65.7914828332141,-563.7509392211214,506.3022,56.0
59,154.47758169809822,-370.1386665329337,508.3014,57.0
60,461.9027136230143,227.21904895361513,506.0649,58.0
61,438.6801925767213,163.92789746262133,505.6404,59.0
62,464.47104283829685,229.47074621915817,507.1535,60.0
63,-16.61186806403566,-324.51894636824727,510.0529,61.0
64,189.72404442063998,-431.85785534698516,503.9592,62.0
65,321.2237011392135,-45.05262603703886,508.6411,63.0
66,141.86799800896551,-507.3052809983492,507.8265,64.0
67,351.26887194323353,107.77668340597302,507.597,65.0
68,73.0738403822761,-441.59819733630866,507.3189,66.0
69,167.65613090468105,-666.4977201195434,507.8068,67.0
70,162.02087357838172,-193.7000054847449,503.1623,68.0
71,-33.52818914630916,-302.89208911079913,504.687,69.0
72,183.19061424350366,-637.1041196258739,508.6926,70.0
73,96.39256526331883,-611.3861786266789,505.9773,71.0
74,426.6493841558695,-76.47542274836451,495.0026,72.0
75,378.586954792263,-121.31077389977872,495.3733,73.0
76,275.34942867641803,-80.42050755023956,505.1699,74.0
77,108.54416831070557,-114.17650740686804,507.3944,75.0
78,129.20346745604184,-302.00041699409485,509.0378,76.0
79,382.14407466957346,223.3105472829193,508.2335,77.0
80,180.02519190427847,-644.2029149373993,508.3536,78.0
81,-27.858674985007383,-370.1497860252857,513.4941,79.0
82,326.7071853900561,-40.184067368507385,508.4054,80.0
83,32.19041817460675,-217.98753494769335,508.5479,81.0
84,251.35584682307672,-90.4753087926656,503.4168,82.0
85,256.2582501267316,-62.73017308674753,503.8096,83.0
86,158.42142259166576,-24.213584835641086,506.0236,84.0
87,257.8023905555019,-62.06166918762028,513.0915,85.0
88,-18.88333705626428,-157.80973020661622,508.1121,86.0
89,448.2734738801373,-48.84993278235197,495.0737,87.0
90,358.92423999740276,135.03478533402085,504.0768,88.0
91,170.4293602150865,-278.8093807026744,503.0828,89.0
92,-54.183657901478,-220.95321483630687,505.1069,90.0
93,185.1651463562157,-638.0878611411899,508.661,91.0
94,261.9975245296955,-22.3852066565305,506.2535,92.0
95,221.9153200709261,-344.0322104599327,504.5221,93.0
96,451.35497087193653,129.30513315368444,500.0298,94.0
97,109.8419491071254,-199.43632936105132,508.433,95.0
98,363.2410870054737,150.87639294750988,513.1013,96.0
99,119.26328974764328,-648.3255780376494,512.08,97.0
100,63.43837219499983,-354.80455256346613,504.2585,98.0
101,234.61309851519763,-371.7180792717263,501.8623,99.0
102,255.49413190502673,-17.484846238978207,508.4051,100.0
103,109.29990585462656,-522.1543626971543,506.367,101.0
104,110.6771286566509,-116.45489145349711,509.5014,102.0
105,-51.33536957541946,-223.33289746101946,505.6334,103.0
106,222.98694435018115,-257.84202055446804,504.1198,104.0
107,494.73609035636764,67.38879573438317,500.1009,105.0
108,209.14949748001527,-230.70856813993305,501.5256,106.0
109,387.92560475110076,18.98430982697755,501.9596,107.0
110,140.66976039647125,-35.89739175327122,507.2456,108.0
111,512.2081476978492,141.97924208734185,507.8218,109.0
112,168.2617558200145,-218.42341906018555,503.3735,110.0
113,543.5080955900485,188.39912094455212,508.6924,111.0
114,400.5691278518643,31.68088013585657,501.9614,112.0
115,164.25940606975928,-133.20207055099308,505.2436,113.0
116,451.0922029414214,269.0104389889166,507.246,114.0
117,392.1381212937413,159.67658183258027,505.155,115.0
118,208.82029806438368,10.503139186650515,508.8766,116.0
119,314.72461297828704,-49.300272235646844,502.6877,117.0
120,160.85939392191358,-394.5432842541486,508.1542,118.0
121,72.88805094640702,-270.62632366176695,506.3065,119.0
122,36.32650484738406,-113.68958482332528,506.8512,120.0
123,126.57942482212093,-655.1689586024731,509.6127,121.0
124,109.33793407713529,-120.02680608164519,511.3719,122.0
125,163.22975805366877,-259.1015254901722,506.0856,123.0
126,381.4441883134423,95.30483804270625,505.1645,124.0
127,2.4004560586763546,-237.18823010101914,502.3764,125.0
128,195.19830680824816,-89.39060228317976,506.586,126.0
129,40.12888117949478,-317.0300792539492,506.0832,127.0
130,238.82997834368143,-286.5710089718923,500.308,128.0
131,459.75508192298,269.0966150574386,510.5836,129.0
132,221.1345498424489,-356.3532755021006,504.6737,130.0
133,539.8755944727454,182.22424427699298,502.3201,131.0
134,-40.383608322474174,-195.19958026520908,506.4826,132.0
135,369.98387144401204,172.42496897745878,509.7828,133.0
136,-14.723605988547206,-416.654395416379,506.9515,134.0
137,197.11592569423374,-87.97987224906683,504.6454,135.0
138,155.52211983664893,-291.1903798105195,507.8242,136.0
139,55.154996182071045,-294.8306793188676,507.4963,137.0
140,248.85577999497764,-11.728062497451901,508.2491,138.0
141,101.37736022775061,-618.91930132173,508.7943,139.0
142,239.060519043589,24.118624369613826,509.2783,140.0
143,198.8356153925415,-47.89132132008672,512.2826,141.0
144,161.42108375567477,-444.64493832644075,507.6407,142.0
145,91.12401123100426,-273.5121655939147,508.5772,143.0
146,3.205227418569848,-162.43543915450573,504.3104,144.0
147,446.5557155677816,243.1740753930062,508.3799,145.0
148,155.15789493802004,-311.4162921877578,506.7852,146.0
149,555.1687565883622,231.68697230145335,508.9009,147.0
150,93.0896967544686,-92.74112781323493,507.9738,148.0
151,221.7176261433633,-349.74907522369176,504.8043,149.0
152,62.77951668121386,-348.9633718729019,507.3506,150.0
153,262.46650959562976,-22.277903552167118,506.2519,149.0
154,416.5969201673288,148.78348203748465,505.0076,150.0
155,109.251919848728,-118.98702232353389,504.855,151.0
156,-14.723605988547206,-416.654395416379,506.9515,152.0
157,197.11592569423374,-87.97987224906683,504.6454,153.0
158,155.52211983664893,-291.1903798105195,507.8242,154.0
159,55.154996182071045,-294.8306793188676,507.4963,155.0
