,x,y,z
0,-14.723605988547206,-416.654395416379,506.9515
1,-14.723605988547206,-416.654395416379,506.9515
2,77.90241973707452,-446.25237218663096,507.4514
3,446.9898092603544,-50.204509378410876,496.7562
4,141.5004264259478,-215.09857955761254,505.3772
5,141.5004264259478,-215.09857955761254,505.3772
6,382.7627907580463,162.64659832324833,506.3204
7,531.3867496782914,206.67767657060176,509.4904
8,486.34842514328193,263.2561015356332,510.303
9,36.32650484738406,-113.68958482332528,506.8512
10,262.6620563220931,-36.83854561112821,506.4343
11,468.4655269793002,229.39680159185082,506.7071
12,439.2055318353232,266.14272183179855,513.9568
13,450.8460199892288,128.7079052021727,501.446
14,439.2055318353232,266.14272183179855,513.9568
15,260.4599604464602,-82.30348243843764,511.0492
16,418.73457501165103,59.05762705113739,500.1858
17,360.4791898060357,137.7352653220296,508.1549
18,360.067498262506,-2.696143385954201,500.6576
19,90.0451102447696,-81.39290718454868,506.188
20,53.8612194203306,-541.9966525770724,510.8166
21,53.8612194203306,-541.9966525770724,510.8166
22,443.3859252255643,-55.894909750670195,495.081
23,372.39251016639173,189.47470946982503,512.9426
24,580.6797868045978,225.98300615046173,508.943
25,366.5993496446172,39.79399556852877,500.3654
26,372.39251016639173,189.47470946982503,512.9426
27,439.2055318353232,266.14272183179855,513.9568
28,439.2055318353232,266.14272183179855,513.9568
29,468.51839587965515,112.29675717372447,491.0398
30,359.46610387112014,134.1267675627023,512.8392
31,462.44063506799284,270.09581266809255,506.8416
32,509.66437973838765,163.5954246316105,483.3587
33,462.44063506799284,270.09581266809255,506.8416
34,462.44063506799284,270.09581266809255,506.8416
35,372.39251016639173,189.47470946982503,512.9426
36,366.5993496446172,39.79399556852877,500.3654
37,372.39251016639173,189.47470946982503,512.9426
38,366.5993496446172,39.79399556852877,500.3654
39,509.66437973838765,163.5954246316105,483.3587
40,-17.841214218409732,-412.36716382578015,510.4344
41,402.3379429617198,246.69139331392944,514.083
42,509.66437973838765,163.5954246316105,483.3587
43,509.66437973838765,163.5954246316105,483.3587
44,462.44063506799284,270.09581266809255,506.8416
45,510.01517848914955,125.26264159567654,509.5707
46,366.9897097114008,166.74646646343172,508.792
47,509.66437973838765,163.5954246316105,483.3587
48,509.66437973838765,163.5954246316105,483.3587
49,360.19516518036835,135.4513215282932,507.8185
50,463.4660674916813,269.7298701647669,513.7228
51,356.93365947087295,125.17735508549958,512.669
52,463.4660674916813,269.7298701647669,513.7228
53,463.4660674916813,269.7298701647669,513.7228
54,463.4660674916813,269.7298701647669,513.7228
55,360.4791898060357,137.7352653220296,508.1549
56,463.4660674916813,269.7298701647669,513.7228
57,463.4660674916813,269.7298701647669,513.7228
58,463.4660674916813,269.7298701647669,513.7228
59,463.4660674916813,269.7298701647669,513.7228
60,360.4791898060357,137.7352653220296,508.1549
61,434.5332739155274,139.40341161191463,505.6576
62,463.4660674916813,269.7298701647669,513.7228
63,376.54337614844553,161.63294537179172,509.1787
64,463.4660674916813,269.7298701647669,513.7228
65,463.4660674916813,269.7298701647669,513.7228
66,360.4791898060357,137.7352653220296,508.1549
67,434.5332739155274,139.40341161191463,505.6576
68,462.44063506799284,270.09581266809255,506.8416
69,463.4660674916813,269.7298701647669,513.7228
70,463.4660674916813,269.7298701647669,513.7228
71,463.4660674916813,269.7298701647669,513.7228
72,534.8635235781549,156.77283751778305,503.9387
73,463.4660674916813,269.7298701647669,513.7228
74,463.4660674916813,269.7298701647669,513.7228
75,517.5501505786087,255.1065141670406,512.5953
76,108.58183621207718,-442.2146620089188,508.5243
77,307.34887901332695,-122.92988322582096,503.1197
78,462.44063506799284,270.09581266809255,506.8416
79,463.4660674916813,269.7298701647669,513.7228
80,462.44063506799284,270.09581266809255,506.8416
81,463.4660674916813,269.7298701647669,513.7228
82,463.4660674916813,269.7298701647669,513.7228
83,462.44063506799284,270.09581266809255,506.8416
