,x,y,z
0,-14.723605988547206,-416.654395416379,506.9515
1,197.11592569423374,-87.97987224906683,504.6454
2,155.52211983664893,-291.1903798105195,507.8242
3,55.154996182071045,-294.8306793188676,507.4963
4,8.700129276025109,-128.57024588156492,508.0153
5,248.85577999497764,-11.728062497451901,508.2491
6,101.37736022775061,-618.91930132173,508.7943
7,239.060519043589,24.118624369613826,509.2783
8,40.12888117949478,-317.0300792539492,506.0832
9,84.17358195909765,-522.378086890094,507.4267
10,198.8356153925415,-47.89132132008672,512.2826
11,161.42108375567477,-444.64493832644075,507.6407
12,91.12401123100426,-273.5121655939147,508.5772
13,3.205227418569848,-162.43543915450573,504.3104
14,264.39922924444545,32.31769348029047,505.4194
15,446.5557155677816,243.1740753930062,508.3799
16,360.4791898060357,137.7352653220296,508.1549
17,155.15789493802004,-311.4162921877578,506.7852
18,555.1687565883622,231.68697230145335,508.9009
19,126.81853673758451,-48.24948017951101,505.8714
20,93.0896967544686,-92.74112781323493,507.9738
21,221.7176261433633,-349.74907522369176,504.8043
22,62.77951668121386,-348.9633718729019,507.3506
23,145.17974884645082,-670.9319514045492,512.0143
24,5.6525446601444855,-453.9419461423531,507.8512
25,197.89153900602832,-37.17946925573051,513.6604
26,261.9975245296955,-22.3852066565305,506.2535
27,349.9541372539243,57.93678218964487,501.0457
28,153.67527655209415,-309.19773101154715,507.5574
29,179.6229195066262,-357.9876185338944,506.8408
30,111.67396319191903,-63.59059942793101,505.7162
31,123.99259048444219,-442.1184783987701,502.8531
32,193.1186071357224,-88.6639434369281,507.7297
33,57.431430030963384,-316.95468909386545,508.3093
34,480.5610175074544,111.46090490929782,499.8405
35,94.00623216177337,-170.06285514775664,502.5275
36,95.28748640976846,-77.39456001203507,506.0632
37,164.89219215500634,-213.7028608387336,503.5143
38,548.365580564714,203.47337236907333,507.9674
39,46.33081039425451,-107.3291238239035,507.2183
40,351.5665309174219,107.47367722913623,507.0024
41,21.630226290319115,-485.3915408300236,507.8853
42,305.77907598530874,-55.25898596458137,497.5788
