,x,y,z,iter
0,-28.45967252855189,-170.49696014169604,508.2407,0.0
1,267.80883071606513,-34.756309415213764,506.2608,1.0
2,182.28094843705185,-0.8711010543629527,506.9321,2.0
3,234.01266891823616,-442.02362912520766,502.8167,3.0
4,495.60610514471773,263.31870427913964,506.2445,4.0
5,387.92560475110076,18.98430982697755,501.9596,5.0
6,50.80400958226528,-103.20457040984184,509.3284,6.0
7,40.20569848828018,-110.4462512023747,507.6271,7.0
8,498.6065031416947,10.740985135547817,500.6186,8.0
9,108.80662631220184,-119.09821724984795,507.0298,9.0
10,352.2379845515825,-142.54177721962333,496.0925,10.0
11,490.707292005769,112.1328558512032,507.4795,11.0
12,84.77544932451565,-401.33484798204154,521.399,12.0
13,259.3776020440273,-79.29221262969077,501.0859,13.0
14,496.09486333222594,116.21092978678644,503.1504,14.0
15,275.34942867641803,-80.42050755023956,505.1699,15.0
16,359.2360078787897,137.14570982102305,504.7678,16.0
17,109.36555213318206,-114.4096831670031,509.576,17.0
18,444.5285429456271,176.49726077448577,509.3452,18.0
19,291.2636190522462,-188.939194701612,501.1171,19.0
20,157.45939964149147,-122.39481323957443,505.5634,20.0
21,159.28662566980347,-327.4196884194389,505.9691,21.0
22,470.76367018267047,171.5971227483824,495.1328,22.0
23,360.7389260389609,48.23157779686153,503.1296,23.0
24,371.1896001471905,36.9462934974581,499.601,24.0
25,19.55176297482103,-487.8777481960133,504.4457,25.0
26,228.59837437141687,-101.70899864658713,503.2441,26.0
27,264.5956143796211,-79.5972203137353,505.1542,27.0
28,179.70309036807157,-93.67216293420643,508.0151,28.0
29,-29.086586582590826,-173.6995964180678,507.9251,29.0
30,271.31275985518005,-206.79921262338758,498.5378,30.0
31,475.5595049819676,102.87209758069366,498.4573,31.0
32,32.282222357578576,-135.48545836936682,509.1911,32.0
33,238.9795688977465,14.823395671322942,508.1093,33.0
34,232.29857342725154,-403.83784578181803,503.8485,34.0
35,60.113114764681086,-536.2199649447575,510.1106,35.0
36,252.86244559497572,-29.659912342205644,507.8699,36.0
37,452.31356692605186,202.05941768269986,511.3349,37.0
38,-6.4448961860034615,-238.740622472018,513.276,38.0
39,226.0676189310616,17.563016274943948,506.5005,39.0
40,209.49903757113498,9.788155809044838,506.4333,40.0
41,46.73678810684942,-402.4452405208722,506.2567,41.0
42,395.082087717019,31.982329581864178,501.5562,42.0
43,234.95465903915465,-445.5648539541289,503.0485,43.0
44,65.30370300111827,-540.8304401878268,508.2737,44.0
45,135.10871806601062,-88.7504530902952,505.1503,45.0
46,79.86042127315886,-524.2899724598974,507.7015,46.0
47,237.0676847314462,-253.366202368401,500.275,47.0
