,x,y,z
0,213.67777647310868,11.369458860717714,506.9467
1,-26.318731183419004,-309.49050725251436,508.1059
2,109.33646758669056,-119.93440309818834,511.7318
3,109.19649107439909,-119.59792724996805,514.7329
4,200.64818867715076,-233.0212002247572,498.9125
5,154.94329239998478,-323.25655036605895,508.2607
6,364.72311738855205,157.50872554257512,508.4163
7,-26.525046179187484,-312.78732563275844,504.4842
8,180.6441355693387,-48.01919548492879,511.551
9,422.7694921573857,152.48994252830744,496.596
10,36.49869131180458,-111.89567707106471,507.2099
11,378.53780772862956,-119.50530187599361,499.5377
12,-22.124428484006785,-400.6279818350449,511.8713
13,255.90576467267238,-39.371121261268854,506.6528
14,51.83593200868927,-102.6871804157272,509.1656
15,490.18626210838556,219.92577371560037,504.9512
16,232.98059784749057,-384.24919153004885,503.4679
17,250.65868416032754,-19.743771174922585,506.08
18,168.2953098847065,-168.37158031389117,502.976
19,468.4655269793002,229.39680159185082,506.7071
20,156.63933609088417,-25.42060576379299,509.4337
21,163.44423335103784,-242.97459169384092,502.6252
22,405.26246398547664,80.95780143886805,501.1462
23,121.02283030224498,-515.9621396232396,505.8037
24,124.70953827619087,-139.22905796393752,509.0188
25,248.06337688164786,25.469309143722057,506.4974
26,166.03334691328928,-214.697721847333,502.823
27,548.0783546507591,210.3187544438988,508.3758
28,162.37172035698313,-199.00233556237072,503.4747
29,157.02222065639216,-491.79792533349246,511.7579
30,-27.858674985007383,-370.1497860252857,513.4941
31,66.47064967337064,-564.6585122132674,506.6518
32,41.6525099275168,-375.00655803177506,505.7247
33,46.66552072833292,-106.70198443811387,507.9237
34,81.5206644947175,-531.8375504957512,509.8491
35,108.23573517391924,-522.6325008822605,506.4462
36,144.27424355235416,-671.4407793879509,512.8602
37,379.0674322954146,164.00851378403604,506.6267
38,130.0055444057798,-152.85188201256096,506.2301
39,234.52942848950624,-364.6176160359755,501.7267
40,145.62909129972104,-437.46430354751647,508.0232
41,257.4466875528451,-21.417366015724838,508.9349
42,-32.20715196989477,-326.2820531250909,510.7664
43,256.2582501267316,-62.73017308674753,503.8096
44,354.4528769372264,-20.316425046883523,501.1668
45,103.16873387538362,-401.01838722173125,515.283
46,109.7800521934405,-121.10395133588463,506.9862
47,194.56935522390995,-88.1677916739136,503.0679
48,-33.096640899661,-305.7683682786301,503.6199
49,64.78568349243142,-557.0472194850445,510.7953
50,255.1319093320053,-38.13897027913481,501.9295
51,128.47676003805827,-439.54053521808237,508.531
52,51.1549440829549,-366.2034780792892,503.3584
53,464.689395738882,102.1032958580181,503.2511
54,403.8064970418345,-99.39847926609218,496.9674
55,337.5775440722937,-32.97985926736146,503.246
56,37.20320780703332,-224.83347299601883,505.0383
57,147.55004998203367,-107.31288936454803,506.0685
58,159.68598524213303,-375.35615488141775,504.7741
59,301.2635328747565,54.282583315856755,504.7351
60,287.81986427819356,-68.36797825619578,507.0634
61,198.74160993436817,-590.6762347342446,507.867
62,108.8077145476127,-119.10866957250983,507.0064
63,378.41198737558443,21.410249542444944,501.9584
64,188.8799502560869,-122.6471145292744,507.2193
65,206.7965791823808,-519.7165251271799,503.2517
66,382.14407466957346,223.3105472829193,508.2335
67,-2.8274559805868194,-147.46026240941137,507.812
68,46.870269744307734,-107.24394850991666,508.3951
69,109.39050775917713,-120.48948817234486,509.8546
70,156.77644273475744,-447.49330756720155,505.5353
71,46.5943440226838,-107.33724105264992,507.9973
72,145.10641670401674,-670.8376581063494,512.6701
73,441.75145434378646,135.04801752977073,502.142
74,259.8501946586184,-23.180583966895938,512.7255
75,138.63349920802284,-215.55314441863447,509.0
76,126.98577063588891,-263.86311463825405,502.9567
77,241.2398569099605,20.829256049357355,503.9449
78,154.51622593367938,-362.20824436377734,508.5483
79,233.65484949178062,-357.47634426224977,502.856
80,126.14949820842594,-141.7565186470747,505.9183
81,106.28579134494066,-68.10433508548886,507.8254
82,-13.298749618348666,-423.37657351233065,505.9549
83,31.664144330774434,-115.74713574629277,507.6112
84,508.72631443315186,153.83517875056714,507.6918
85,135.397119989153,-671.0326940082014,507.706
86,109.3392690095352,-441.71573037374765,506.8969
87,95.75469187530689,-175.78272217418998,507.0029
88,443.3859252255643,-55.894909750670195,495.081
89,10.415834196144715,-317.9135229466483,500.4399
90,48.17585610714741,-236.04581342451274,514.8582
91,502.0157753233798,156.6210564430803,507.226
92,148.68138770735823,-504.15768621023744,507.6643
93,222.16925704083405,-293.61109336372465,506.0074
94,47.247686183894984,-235.62838766910136,511.0824
95,363.20481414336246,149.04901552386582,508.6163
96,256.5215592843015,-57.88185189384967,503.8392
97,189.5530589875998,-124.09776354208589,504.0758
98,64.77381033892743,-354.1310448925942,507.5013
99,25.66114283131901,-122.87562010250986,508.4802
100,221.7176261433633,-349.74907522369176,504.8043
101,141.22400644340087,-507.57070328947157,507.8549
102,219.64081330399495,-419.1211436698213,508.0083
103,481.662502628169,89.9591419454664,504.581
104,445.9172265207162,-45.63361952919513,499.7915
105,483.2120849331841,86.16961884498596,512.4693
106,398.0611104896525,160.23756023589522,508.452
107,321.69129018322565,-139.36071275826544,502.3357
108,164.89219215500634,-213.7028608387336,503.5143
109,-27.946449675946496,-369.49773897603154,513.3793
110,-26.806597316404805,-240.69031431525946,513.8038
111,256.71472004486714,-49.50464851036668,507.1516
112,398.3749401869718,26.618619904853404,509.1977
113,233.73327996302396,-385.2407166901976,502.0364
114,375.5044254019158,211.02751090563834,508.5803
115,551.7441452399362,241.02512224111706,508.0162
116,108.35289245052263,-66.00041587930173,506.0535
117,95.44588989240583,-608.7674269089475,507.8804
118,-28.861950887716375,-382.31095276307315,506.2236
119,242.78040560602676,24.312881907448173,506.1369
120,165.91499861713964,-173.52868981752545,502.9599
121,199.3542364052264,-47.07848640624434,512.3641
122,109.89137176808435,-271.12147467024624,507.9266
123,458.9233546118485,175.13167588133365,496.865
124,145.4262661546236,-302.2382629420608,506.5611
125,230.11894041439518,-100.72536832559854,500.5101
126,453.14207813015673,80.2225805837661,502.5606
127,531.7169498365838,249.56778367515653,504.5621
128,200.42564743827097,-15.50946836732328,513.3638
129,218.4707393286517,-533.3384596155956,507.0701
130,194.42600538826082,-88.44833647459745,502.9103
