,x,y,z
0,407.52234636363573,-97.58533479273319,495.0723
1,482.50653433066327,267.65030264668167,510.0533
2,220.15726669097785,-393.0642805341631,508.1257
3,152.14755844685715,-498.968774959445,506.2257
4,359.2360078787897,137.14570982102305,504.7678
5,462.2426231316058,174.15582920517772,496.337
6,477.7610876325052,222.96495345048606,505.6771
7,444.55672698118724,134.06327525991946,507.5889
8,349.13579604786355,4.097421852871776,504.1581
9,118.05399181635585,-307.5847374042496,506.0829
10,55.330623085726984,-538.5930870687589,510.6668
11,423.07876516121905,260.9177834233269,507.8329
12,400.67594923020806,86.56992058083415,501.1986
13,418.17814878281206,257.83623842149973,514.1388
14,375.25913004844915,161.81508266087621,509.2541
15,574.6979604199296,231.7976112542674,510.1167
16,542.1711295995628,183.53589963261038,508.627
17,460.51279724459164,-31.446147643961012,499.3171
18,495.60610514471773,263.31870427913964,506.2445
19,360.0092481262982,-13.258883052505553,508.5035
20,306.4663423881866,-121.87075155042112,503.0915
21,361.2873873588396,141.77809046488255,508.4851
22,525.2898675895995,151.51209434308112,504.7403
23,216.24382631096523,-238.7404000815004,497.7057
24,458.895532577415,112.15709634684026,497.2773
25,504.7044378145365,43.22602697927505,498.5708
26,62.883521179435775,-557.6683543454856,504.7095
27,486.34842514328193,263.2561015356332,510.303
28,398.3749401869718,26.618619904853404,509.1977
29,548.0783546507591,210.3187544438988,508.3758
30,423.64780599810183,53.05165547784418,504.9408
31,398.0611104896525,160.23756023589522,508.452
32,72.13903486146592,-571.5194615768269,504.9849
33,-12.456766638322733,-145.63477529864758,508.9217
34,437.68584559927694,265.9117699684575,514.0503
35,550.3848686233396,222.9093559877947,504.8445
36,367.45003016258124,168.83559674583375,509.0165
37,405.26624060887843,82.6030415724963,501.5361
38,195.85129086230882,-599.8090076446533,508.5025
39,371.4712108139647,188.1163522452116,509.3732
40,384.46538670093287,101.01669903472066,502.3044
41,11.643459058483131,-476.4600307382643,504.003
42,418.97332006914075,57.484886007383466,500.8609
43,402.43905097967945,-93.98117363452911,500.0329
44,437.78898720629513,265.98693773988634,514.0116
45,422.70695259061176,152.39320294279605,507.1857
46,362.38988899753895,46.11498236935586,503.0405
47,88.24972147645894,-445.6892810780555,508.1401
48,449.638011836214,201.45029187388718,507.6976
49,437.78260802594014,265.9653659230098,514.0125
50,411.9417574389372,250.3891805987805,511.2739
51,164.28744710236788,-434.82764944806695,504.7299
52,131.44780411710963,-219.20489700417966,503.8358
53,154.68104309751652,-338.41353081632406,501.597
54,479.4843851638725,107.21703934017569,507.2608
55,272.02467679244,37.38951647467911,506.3221
56,40.20569848828018,-110.4462512023747,507.6271
57,154.86657488299534,-326.58205703739077,508.9429
58,197.14345528034028,-228.0298823583871,502.5872
